name,lat,lng,FSA,RATINGS
Rolph Road,43.6998525,-79.3659595,M4G,8
Burrows Hall,43.7927577,-79.2289182,M1B,6.9
Chief Dan George,43.8026736,-79.1639362,M1B,4.6
Lucy Maud Montgomery,43.7969646,-79.2094261,M1B,4.4
Berner Trail,43.8015399,-79.2210971,M1B,6.5
Mary Shadd,43.8144737,-79.2184349,M1B,6.1
Grey Owl,43.8040632,-79.2129864,M1B,4.6
Tom Longboat,43.8104131,-79.2315946,M1B,6
Alexander Stirling,43.8117057,-79.207487,M1B,4.7
Malvern,43.7978734,-79.2331454,M1B,5.7
Heritage Park,43.8211236,-79.2076576,M1B,7
Fleming,43.815572,-79.2034305,M1B,9.5
Rouge Valley,43.7993729,-79.1510611,M1B,5.9
Emily Carr,43.8048719,-79.2068898,M1B,7.2
John G Diefenbaker,43.8023136,-79.1717313,M1B,7.4
Alvin Curling,43.8083851,-79.1904746,M1B,7.9
William G Davis,41.1876661,-73.1577099,M1C,7.4
Morrish,43.7932201,-79.1794546,M1C,7.7
Charlottetown,43.7819963,-79.1423267,M1C,6.5
Highland Creek,43.7833059,-79.1784557,M1C,6.9
West Rouge,43.795828,-79.1337298,M1C,7.5
Meadowvale,43.7953443,-79.1641425,M1C,7
Centennial Road,43.7870187,-79.1501063,M1C,8.6
Eastview,43.7590263,-79.1914443,M1E,2.3
Elizabeth Simcoe,40.8708636,-73.9564296,M1E,6.4
Poplar Road,43.7535932,-79.1873275,M1E,6.3
Highcastle,43.7865806,-79.212286,M1E,5.3
West Hill,29.2575442,-81.0271786,M1E,3.2
Galloway Road,43.7647888,-79.1964249,M1E,3.7
Guildwood,40.6410909,-74.279117,M1E,6.6
St Margaret's,43.7679964,-79.1957525,M1E,3.7
Joseph Brant,43.7669449,-79.1755888,M1E,3.2
Military Trail,43.7895915,-79.1974851,M1E,4
William G Miller,43.7685981,-79.1651188,M1E,5.5
Cornell,43.759448,-79.218356,M1G,7.2
Woburn,43.7794066,-79.2268756,M1G,5.7
Willow Park,40.3224102,-75.592297,M1G,4
Heather Heights,43.7750444,-79.2150344,M1G,6.1
Golf Road,43.7637973,-79.216866,M1G,5.2
George B Little,43.7710633,-79.2080804,M1G,6.7
Churchill Heights,43.7730799,-79.2239156,M1G,7.5
North Bendale,43.7703864,-79.2479843,M1H,8.1
William Tredway,43.7650406,-79.235276,M1H,5.5
Bellmere,43.7718397,-79.2351275,M1H,8.6
Bendale,43.7624996,-79.2448337,M1H,7.7
Cedar Drive,43.746532,-79.2150967,M1J,4
Cedarbrook,42.2816245,-71.0820202,M1J,6.7
John McCrae,43.7439455,-79.2397404,M1J,5.2
Knob Hill,42.2720677,-71.4351544,M1J,3.8
Glen Ravine,43.7381342,-79.2540714,M1K,6.7
Hunter's Glen,43.745638,-79.260708,M1K,7.3
Lord Roberts,43.7413463,-79.2635547,M1K,6.7
Corvette,43.7266137,-79.2622055,M1K,4
Walter Perry,40.9082998,-74.1287903,M1K,4.9
Norman Cook,43.6791566,-79.343113,M1K,5.7
Ionview,43.7374809,-79.2743163,M1K,2
J G Workman,43.7071846,-79.267175,M1K,3.9
Danforth Gardens,34.0906482,-118.3468075,M1L,6.8
General Brock,43.718498,-79.2745827,M1L,4.3
Clairlea,43.7164231,-79.2964555,M1L,5.5
Regent Heights,43.7075916,-79.2894428,M1L,7
Warden Avenue,43.7002802,-79.2768235,M1L,4
